"id","brks","type","acc"
"1_1",100,"True","True"
"1_1",200,"True","True"
"1_1",300,"True","True"
"1_1",400,"True","True"
"1_1",500,"True","True"
"1_1",600,"True","True"
"1_1",700,"True","True"
"1_1",800,"True","True"
"1_1",900,"True","True"
"1_1",108,"Model","Accurate"
"1_1",205,"Model","Accurate"
"1_1",316,"Model","Inaccurate"
"1_1",396,"Model","Accurate"
"1_1",507,"Model","Accurate"
"1_1",607,"Model","Accurate"
"1_1",687,"Model","Inaccurate"
"1_1",802,"Model","Accurate"
"1_1",906,"Model","Accurate"
"2_1",100,"True","True"
"2_1",300,"True","True"
"2_1",400,"True","True"
"2_1",700,"True","True"
"2_1",800,"True","True"
"2_1",900,"True","True"
"2_1",103,"Model","Accurate"
"2_1",176,"Model","Inaccurate"
"2_1",304,"Model","Accurate"
"2_1",377,"Model","Inaccurate"
"2_1",490,"Model","Inaccurate"
"2_1",587,"Model","Inaccurate"
"2_1",730,"Model","Inaccurate"
"2_1",796,"Model","Accurate"
"2_1",893,"Model","Accurate"
"3_1",100,"True","True"
"3_1",200,"True","Missing"
"3_1",300,"True","True"
"3_1",400,"True","True"
"3_1",500,"True","True"
"3_1",600,"True","True"
"3_1",700,"True","True"
"3_1",800,"True","True"
"3_1",120,"Model","Inaccurate"
"3_1",294,"Model","Accurate"
"3_1",408,"Model","Accurate"
"3_1",498,"Model","Accurate"
"3_1",576,"Model","Inaccurate"
"3_1",702,"Model","Accurate"
"3_1",805,"Model","Accurate"
"4_1",100,"True","Missing"
"4_1",300,"True","True"
"4_1",400,"True","True"
"4_1",600,"True","Missing"
"4_1",298,"Model","Accurate"
"4_1",407,"Model","Accurate"
"4_1",662,"Model","Inaccurate"
"4_1",761,"Model","Inaccurate"
"4_1",896,"Model","Inaccurate"
"5_1",100,"True","True"
"5_1",300,"True","Missing"
"5_1",700,"True","True"
"5_1",800,"True","True"
"5_1",900,"True","True"
"5_1",107,"Model","Accurate"
"5_1",191,"Model","Inaccurate"
"5_1",391,"Model","Inaccurate"
"5_1",539,"Model","Inaccurate"
"5_1",641,"Model","Inaccurate"
"5_1",708,"Model","Accurate"
"5_1",803,"Model","Accurate"
"5_1",909,"Model","Accurate"
"1_2",100,"True","True"
"1_2",200,"True","Missing"
"1_2",400,"True","True"
"1_2",500,"True","Missing"
"1_2",700,"True","True"
"1_2",800,"True","True"
"1_2",900,"True","Missing"
"1_2",1000,"True","True"
"1_2",1100,"True","True"
"1_2",1400,"True","True"
"1_2",1600,"True","True"
"1_2",1800,"True","True"
"1_2",1900,"True","True"
"1_2",2000,"True","Missing"
"1_2",2200,"True","True"
"1_2",2300,"True","True"
"1_2",2400,"True","True"
"1_2",2800,"True","True"
"1_2",2900,"True","True"
"1_2",3200,"True","Missing"
"1_2",3300,"True","Missing"
"1_2",3400,"True","True"
"1_2",3500,"True","True"
"1_2",3600,"True","True"
"1_2",3800,"True","Missing"
"1_2",3900,"True","True"
"1_2",4100,"True","Missing"
"1_2",4300,"True","True"
"1_2",4500,"True","True"
"1_2",4700,"True","True"
"1_2",4800,"True","True"
"1_2",108,"Model","Accurate"
"1_2",302,"Model","Inaccurate"
"1_2",371,"Model","Inaccurate"
"1_2",544,"Model","Inaccurate"
"1_2",701,"Model","Accurate"
"1_2",810,"Model","Accurate"
"1_2",1003,"Model","Accurate"
"1_2",1100,"Model","Accurate"
"1_2",1227,"Model","Inaccurate"
"1_2",1394,"Model","Accurate"
"1_2",1514,"Model","Inaccurate"
"1_2",1602,"Model","Accurate"
"1_2",1700,"Model","Inaccurate"
"1_2",1796,"Model","Accurate"
"1_2",1911,"Model","Inaccurate"
