"id","brks","type","acc"
"1_1",100,"True","True"
"1_1",200,"True","True"
"1_1",300,"True","True"
"1_1",400,"True","True"
"1_1",500,"True","True"
"1_1",600,"True","True"
"1_1",700,"True","True"
"1_1",800,"True","True"
"1_1",900,"True","True"
"1_1",3,"Model","Inaccurate"
"1_1",102,"Model","Accurate"
"1_1",202,"Model","Accurate"
"1_1",205,"Model","Accurate"
"1_1",303,"Model","Accurate"
"1_1",346,"Model","Inaccurate"
"1_1",403,"Model","Accurate"
"1_1",503,"Model","Accurate"
"1_1",602,"Model","Accurate"
"1_1",694,"Model","Accurate"
"1_1",704,"Model","Accurate"
"1_1",797,"Model","Accurate"
"1_1",841,"Model","Inaccurate"
"1_1",844,"Model","Inaccurate"
"1_1",903,"Model","Accurate"
"2_1",100,"True","True"
"2_1",300,"True","True"
"2_1",400,"True","True"
"2_1",700,"True","True"
"2_1",800,"True","True"
"2_1",900,"True","True"
"2_1",102,"Model","Accurate"
"2_1",110,"Model","Accurate"
"2_1",301,"Model","Accurate"
"2_1",403,"Model","Accurate"
"2_1",702,"Model","Accurate"
"2_1",803,"Model","Accurate"
"2_1",902,"Model","Accurate"
"3_1",100,"True","True"
"3_1",200,"True","True"
"3_1",300,"True","True"
"3_1",400,"True","True"
"3_1",500,"True","True"
"3_1",600,"True","True"
"3_1",700,"True","True"
"3_1",800,"True","True"
"3_1",103,"Model","Accurate"
"3_1",200,"Model","Accurate"
"3_1",302,"Model","Accurate"
"3_1",403,"Model","Accurate"
"3_1",502,"Model","Accurate"
"3_1",601,"Model","Accurate"
"3_1",607,"Model","Accurate Duplicate"
"3_1",608,"Model","Accurate Duplicate"
"3_1",701,"Model","Accurate"
"3_1",735,"Model","Inaccurate"
"3_1",800,"Model","Accurate"
"3_1",803,"Model","Accurate"
"3_1",1000,"Model","Inaccurate"
"4_1",100,"True","True"
"4_1",300,"True","True"
"4_1",400,"True","True"
"4_1",600,"True","True"
"4_1",82,"Model","Inaccurate"
"4_1",118,"Model","Inaccurate"
"4_1",125,"Model","Inaccurate"
"4_1",303,"Model","Accurate"
"4_1",412,"Model","Inaccurate"
"4_1",606,"Model","Accurate"
"5_1",100,"True","True"
"5_1",300,"True","True"
"5_1",700,"True","True"
"5_1",800,"True","True"
"5_1",900,"True","True"
"5_1",103,"Model","Accurate"
"5_1",302,"Model","Accurate"
"5_1",695,"Model","Accurate"
"5_1",701,"Model","Accurate Duplicate"
"5_1",702,"Model","Accurate Duplicate"
"5_1",802,"Model","Accurate"
"5_1",900,"Model","Accurate"
"1_2",100,"True","True"
"1_2",200,"True","True"
"1_2",400,"True","True"
"1_2",500,"True","True"
"1_2",700,"True","True"
"1_2",800,"True","True"
"1_2",900,"True","True"
"1_2",1000,"True","True"
"1_2",1100,"True","True"
"1_2",1400,"True","True"
"1_2",1600,"True","True"
"1_2",1800,"True","True"
"1_2",1900,"True","True"
"1_2",2000,"True","True"
"1_2",2200,"True","True"
"1_2",2300,"True","True"
"1_2",2400,"True","True"
"1_2",2800,"True","True"
"1_2",2900,"True","True"
"1_2",3200,"True","True"
"1_2",3300,"True","True"
"1_2",3400,"True","True"
"1_2",3500,"True","True"
"1_2",3600,"True","True"
"1_2",3800,"True","True"
"1_2",3900,"True","True"
"1_2",4100,"True","True"
"1_2",4300,"True","True"
"1_2",4500,"True","True"
"1_2",4700,"True","True"
"1_2",4800,"True","True"
"1_2",101,"Model","Accurate"
"1_2",201,"Model","Accurate"
"1_2",374,"Model","Inaccurate"
"1_2",408,"Model","Accurate"
"1_2",501,"Model","Accurate"
"1_2",508,"Model","Accurate"
"1_2",702,"Model","Accurate"
