"id","brks","type","acc"
"1_1",100,"True","True"
"1_1",200,"True","True"
"1_1",300,"True","True"
"1_1",400,"True","True"
"1_1",500,"True","True"
"1_1",600,"True","True"
"1_1",700,"True","Missing"
"1_1",800,"True","True"
"1_1",900,"True","Missing"
"1_1",100,"Model","Accurate"
"1_1",200,"Model","Accurate"
"1_1",309,"Model","Accurate"
"1_1",388,"Model","Inaccurate"
"1_1",507,"Model","Accurate"
"1_1",608,"Model","Accurate"
"1_1",662,"Model","Inaccurate"
"1_1",800,"Model","Accurate"
"2_1",300,"True","Missing"
"2_1",400,"True","True"
"2_1",500,"True","True"
"2_1",600,"True","True"
"2_1",800,"True","True"
"2_1",900,"True","True"
"2_1",50,"Model","Inaccurate"
"2_1",110,"Model","Inaccurate"
"2_1",169,"Model","Inaccurate"
"2_1",240,"Model","Inaccurate"
"2_1",332,"Model","Inaccurate"
"2_1",400,"Model","Accurate"
"2_1",475,"Model","Inaccurate"
"2_1",559,"Model","Inaccurate"
"2_1",609,"Model","Accurate"
"2_1",708,"Model","Inaccurate"
"2_1",775,"Model","Inaccurate"
"2_1",855,"Model","Inaccurate"
"2_1",905,"Model","Accurate"
"3_1",100,"True","True"
"3_1",200,"True","True"
"3_1",300,"True","True"
"3_1",700,"True","True"
"3_1",800,"True","True"
"3_1",900,"True","True"
"3_1",99,"Model","Accurate"
"3_1",150,"Model","Inaccurate"
"3_1",200,"Model","Accurate"
"3_1",300,"Model","Accurate"
"3_1",614,"Model","Inaccurate"
"3_1",670,"Model","Inaccurate"
"3_1",804,"Model","Accurate"
"3_1",856,"Model","Inaccurate"
"3_1",907,"Model","Accurate"
"4_1",100,"True","True"
"4_1",200,"True","True"
"4_1",300,"True","True"
"4_1",500,"True","Missing"
"4_1",700,"True","True"
"4_1",800,"True","True"
"4_1",900,"True","True"
"4_1",97,"Model","Accurate"
"4_1",211,"Model","Inaccurate"
"4_1",316,"Model","Inaccurate"
"4_1",572,"Model","Inaccurate"
"4_1",631,"Model","Inaccurate"
"4_1",700,"Model","Accurate"
"4_1",800,"Model","Accurate"
"4_1",892,"Model","Accurate"
"5_1",100,"True","True"
"5_1",300,"True","True"
"5_1",400,"True","True"
"5_1",900,"True","Missing"
"5_1",99,"Model","Accurate"
"5_1",192,"Model","Inaccurate"
"5_1",246,"Model","Inaccurate"
"5_1",300,"Model","Accurate"
"5_1",396,"Model","Accurate"
"5_1",446,"Model","Inaccurate"
"5_1",496,"Model","Inaccurate"
"5_1",561,"Model","Inaccurate"
"5_1",643,"Model","Inaccurate"
"5_1",714,"Model","Inaccurate"
"5_1",791,"Model","Inaccurate"
"5_1",868,"Model","Inaccurate"
"5_1",931,"Model","Inaccurate"
"1_2",100,"True","Missing"
"1_2",200,"True","Missing"
"1_2",300,"True","True"
"1_2",400,"True","True"
"1_2",500,"True","True"
"1_2",900,"True","True"
"1_2",1000,"True","True"
"1_2",1200,"True","True"
"1_2",1300,"True","True"
"1_2",1400,"True","Missing"
"1_2",1500,"True","True"
"1_2",1700,"True","True"
"1_2",1800,"True","True"
"1_2",1900,"True","True"
"1_2",2200,"True","True"
"1_2",2400,"True","True"
"1_2",2500,"True","True"
"1_2",2700,"True","True"
"1_2",2800,"True","True"
"1_2",2900,"True","True"
"1_2",3000,"True","True"
"1_2",3100,"True","True"
"1_2",3600,"True","True"
"1_2",3700,"True","True"
"1_2",4100,"True","True"
"1_2",4200,"True","True"
"1_2",4300,"True","True"
"1_2",4600,"True","True"
"1_2",4800,"True","True"
"1_2",4900,"True","Missing"
"1_2",155,"Model","Inaccurate"
"1_2",300,"Model","Accurate"
