"id","brks","type","acc"
"1_2",100,"True","True"
"1_2",200,"True","True"
"1_2",300,"True","True"
"1_2",400,"True","True"
"1_2",500,"True","True"
"1_2",900,"True","True"
"1_2",1000,"True","True"
"1_2",1200,"True","True"
"1_2",1300,"True","True"
"1_2",1400,"True","Missing"
"1_2",1500,"True","Missing"
"1_2",1700,"True","Missing"
"1_2",1800,"True","Missing"
"1_2",1900,"True","True"
"1_2",2200,"True","True"
"1_2",2400,"True","Missing"
"1_2",2500,"True","Missing"
"1_2",2700,"True","True"
"1_2",2800,"True","True"
"1_2",2900,"True","True"
"1_2",3000,"True","True"
"1_2",3100,"True","True"
"1_2",3600,"True","True"
"1_2",3700,"True","True"
"1_2",4100,"True","True"
"1_2",4200,"True","True"
"1_2",4300,"True","True"
"1_2",4600,"True","True"
"1_2",4800,"True","True"
"1_2",4900,"True","True"
"1_2",90,"Model","Accurate"
"1_2",108,"Model","Accurate"
"1_2",126,"Model","Inaccurate"
"1_2",164,"Model","Inaccurate"
"1_2",178,"Model","Inaccurate"
"1_2",196,"Model","Accurate"
"1_2",302,"Model","Accurate"
"1_2",401,"Model","Accurate"
"1_2",482,"Model","Inaccurate"
"1_2",505,"Model","Accurate"
"1_2",902,"Model","Accurate"
"1_2",999,"Model","Accurate"
"1_2",1201,"Model","Accurate"
"1_2",1302,"Model","Accurate"
"1_2",1919,"Model","Inaccurate"
"1_2",2203,"Model","Accurate"
"1_2",2701,"Model","Accurate"
"1_2",2804,"Model","Accurate"
"1_2",2902,"Model","Accurate"
"1_2",3004,"Model","Accurate"
"1_2",3101,"Model","Accurate"
"1_2",3602,"Model","Accurate"
"1_2",3703,"Model","Accurate"
"1_2",4102,"Model","Accurate"
"1_2",4202,"Model","Accurate"
"1_2",4209,"Model","Accurate"
"1_2",4303,"Model","Accurate"
"1_2",4603,"Model","Accurate"
"1_2",4802,"Model","Accurate"
"1_2",4895,"Model","Accurate"
"1_2",4993,"Model","Inaccurate"
"2_2",200,"True","True"
"2_2",300,"True","True"
"2_2",400,"True","True"
"2_2",600,"True","True"
"2_2",900,"True","True"
"2_2",1000,"True","True"
"2_2",1300,"True","True"
"2_2",1400,"True","True"
"2_2",1500,"True","True"
"2_2",1600,"True","True"
"2_2",1800,"True","True"
"2_2",2000,"True","True"
"2_2",2400,"True","Missing"
"2_2",2500,"True","Missing"
"2_2",2700,"True","Missing"
"2_2",2800,"True","Missing"
"2_2",3000,"True","True"
"2_2",3200,"True","True"
"2_2",3300,"True","True"
"2_2",3400,"True","True"
"2_2",3700,"True","True"
"2_2",3800,"True","True"
"2_2",3900,"True","True"
"2_2",4000,"True","True"
"2_2",4100,"True","True"
"2_2",4300,"True","True"
"2_2",4400,"True","True"
"2_2",201,"Model","Accurate"
"2_2",302,"Model","Accurate"
"2_2",400,"Model","Accurate"
"2_2",404,"Model","Accurate"
"2_2",406,"Model","Accurate"
"2_2",601,"Model","Accurate"
"2_2",895,"Model","Accurate"
"2_2",902,"Model","Accurate"
"2_2",1002,"Model","Accurate"
"2_2",1303,"Model","Accurate"
"2_2",1394,"Model","Accurate"
"2_2",1414,"Model","Inaccurate"
"2_2",1498,"Model","Accurate"
"2_2",1500,"Model","Accurate"
"2_2",1611,"Model","Inaccurate"
"2_2",1801,"Model","Accurate"
"2_2",2003,"Model","Accurate"
"2_2",3003,"Model","Accurate"
"2_2",3182,"Model","Inaccurate"
"2_2",3200,"Model","Accurate"
"2_2",3226,"Model","Inaccurate"
"2_2",3302,"Model","Accurate"
"2_2",3402,"Model","Accurate"
"2_2",3700,"Model","Accurate"
"2_2",3794,"Model","Accurate"
"2_2",3808,"Model","Accurate"
"2_2",3862,"Model","Inaccurate"
"2_2",3906,"Model","Accurate"
"2_2",3996,"Model","Accurate"
"2_2",4009,"Model","Accurate"
"2_2",4018,"Model","Inaccurate"
"2_2",4036,"Model","Inaccurate"
"2_2",4084,"Model","Inaccurate"
"2_2",4302,"Model","Accurate"
"2_2",4323,"Model","Inaccurate"
"2_2",4400,"Model","Accurate"
"3_2",100,"True","True"
"3_2",200,"True","True"
"3_2",300,"True","Missing"
"3_2",400,"True","Missing"
"3_2",500,"True","True"
"3_2",600,"True","True"
"3_2",800,"True","True"
"3_2",900,"True","True"
"3_2",1000,"True","True"
"3_2",1100,"True","True"
"3_2",1200,"True","True"
"3_2",1300,"True","True"
"3_2",1400,"True","True"
"3_2",1500,"True","True"
"3_2",1600,"True","True"
"3_2",1700,"True","True"
"3_2",1900,"True","True"
"3_2",2000,"True","True"
"3_2",2100,"True","True"
"3_2",2200,"True","Missing"
"3_2",2300,"True","Missing"
"3_2",2400,"True","Missing"
"3_2",2500,"True","Missing"
"3_2",2800,"True","True"
"3_2",3200,"True","True"
"3_2",3300,"True","True"
"3_2",3400,"True","True"
"3_2",3800,"True","True"
"3_2",3900,"True","True"
"3_2",4000,"True","True"
"3_2",4300,"True","True"
"3_2",4400,"True","True"
"3_2",4600,"True","True"
"3_2",4700,"True","True"
"3_2",86,"Model","Inaccurate"
"3_2",101,"Model","Accurate"
"3_2",206,"Model","Accurate"
"3_2",502,"Model","Accurate"
"3_2",603,"Model","Accurate"
"3_2",803,"Model","Accurate"
"3_2",902,"Model","Accurate"
"3_2",1001,"Model","Accurate"
"3_2",1104,"Model","Accurate"
"3_2",1202,"Model","Accurate"
"3_2",1301,"Model","Accurate"
"3_2",1315,"Model","Inaccurate"
"3_2",1383,"Model","Inaccurate"
"3_2",1493,"Model","Accurate"
"3_2",1602,"Model","Accurate"
"3_2",1703,"Model","Accurate"
"3_2",1901,"Model","Accurate"
"3_2",1991,"Model","Accurate"
"3_2",2002,"Model","Accurate"
"3_2",2103,"Model","Accurate"
"3_2",2805,"Model","Accurate"
"3_2",3205,"Model","Accurate"
"3_2",3302,"Model","Accurate"
"3_2",3413,"Model","Inaccurate"
"3_2",3801,"Model","Accurate"
"3_2",3912,"Model","Inaccurate"
"3_2",3999,"Model","Accurate"
"3_2",4001,"Model","Accurate"
"3_2",4304,"Model","Accurate"
"3_2",4402,"Model","Accurate"
"3_2",4603,"Model","Accurate"
"3_2",4703,"Model","Accurate"
"3_2",4709,"Model","Accurate"
"3_2",4727,"Model","Inaccurate"
"4_2",200,"True","True"
"4_2",400,"True","True"
"4_2",800,"True","Missing"
"4_2",900,"True","Missing"
"4_2",1100,"True","True"
"4_2",1200,"True","True"
"4_2",1300,"True","True"
"4_2",1400,"True","True"
"4_2",1600,"True","True"
"4_2",1700,"True","True"
"4_2",1900,"True","True"
"4_2",2000,"True","True"
"4_2",2100,"True","True"
"4_2",2200,"True","True"
"4_2",2400,"True","True"
"4_2",2500,"True","True"
"4_2",2600,"True","True"
"4_2",2800,"True","True"
"4_2",3000,"True","True"
"4_2",3300,"True","True"
"4_2",3400,"True","True"
"4_2",3700,"True","True"
"4_2",3800,"True","True"
"4_2",3900,"True","True"
"4_2",4100,"True","True"
"4_2",4300,"True","True"
"4_2",4400,"True","True"
"4_2",4500,"True","True"
"4_2",4700,"True","True"
"4_2",4800,"True","True"
"4_2",4900,"True","True"
"4_2",3,"Model","Inaccurate"
"4_2",199,"Model","Accurate"
"4_2",402,"Model","Accurate"
"4_2",1098,"Model","Accurate"
"4_2",1102,"Model","Accurate"
"4_2",1202,"Model","Accurate"
"4_2",1303,"Model","Accurate"
"4_2",1402,"Model","Accurate"
"4_2",1583,"Model","Inaccurate"
"4_2",1700,"Model","Accurate"
"4_2",1710,"Model","Accurate"
"4_2",1900,"Model","Accurate"
"4_2",2000,"Model","Accurate"
"4_2",2102,"Model","Accurate"
"4_2",2206,"Model","Accurate"
"4_2",2403,"Model","Accurate"
"4_2",2501,"Model","Accurate"
"4_2",2602,"Model","Accurate"
"4_2",2800,"Model","Accurate"
"4_2",3002,"Model","Accurate"
"4_2",3007,"Model","Accurate"
"4_2",3300,"Model","Accurate"
"4_2",3398,"Model","Accurate"
"4_2",3409,"Model","Accurate"
"4_2",3702,"Model","Accurate"
"4_2",3807,"Model","Accurate"
"4_2",3895,"Model","Accurate"
"4_2",4106,"Model","Accurate"
"4_2",4302,"Model","Accurate"
"4_2",4317,"Model","Inaccurate"
"4_2",4346,"Model","Inaccurate"
"4_2",4406,"Model","Accurate"
"4_2",4501,"Model","Accurate"
"4_2",4701,"Model","Accurate"
"4_2",4791,"Model","Accurate"
"4_2",4891,"Model","Accurate"
"5_2",200,"True","True"
"5_2",300,"True","True"
"5_2",600,"True","True"
"5_2",800,"True","True"
"5_2",900,"True","True"
"5_2",1000,"True","True"
"5_2",1100,"True","True"
"5_2",1200,"True","True"
"5_2",1300,"True","True"
"5_2",1400,"True","True"
"5_2",1500,"True","True"
"5_2",1600,"True","True"
"5_2",1700,"True","True"
"5_2",1800,"True","True"
"5_2",1900,"True","True"
"5_2",2000,"True","True"
"5_2",2100,"True","True"
"5_2",2200,"True","True"
"5_2",2400,"True","True"
"5_2",2500,"True","True"
"5_2",2700,"True","True"
"5_2",2800,"True","True"
"5_2",2900,"True","True"
"5_2",3100,"True","True"
"5_2",3200,"True","True"
"5_2",3400,"True","True"
"5_2",4100,"True","Missing"
"5_2",4200,"True","Missing"
"5_2",4700,"True","True"
"5_2",4800,"True","True"
"5_2",10,"Model","Inaccurate"
"5_2",209,"Model","Accurate"
"5_2",273,"Model","Inaccurate"
"5_2",303,"Model","Accurate"
"5_2",611,"Model","Inaccurate"
"5_2",804,"Model","Accurate"
"5_2",817,"Model","Inaccurate"
"5_2",901,"Model","Accurate"
"5_2",1030,"Model","Inaccurate"
"5_2",1101,"Model","Accurate"
"5_2",1110,"Model","Accurate"
"5_2",1194,"Model","Accurate"
"5_2",1208,"Model","Accurate"
"5_2",1302,"Model","Accurate"
"5_2",1402,"Model","Accurate"
"5_2",1488,"Model","Inaccurate"
"5_2",1502,"Model","Accurate"
"5_2",1604,"Model","Accurate"
"5_2",1664,"Model","Inaccurate"
"5_2",1697,"Model","Accurate"
"5_2",1809,"Model","Accurate"
"5_2",1918,"Model","Inaccurate"
"5_2",1923,"Model","Inaccurate"
"5_2",1982,"Model","Inaccurate"
"5_2",1997,"Model","Accurate"
"5_2",2002,"Model","Accurate"
"5_2",2099,"Model","Accurate"
"5_2",2103,"Model","Accurate"
"5_2",2201,"Model","Accurate"
"5_2",2402,"Model","Accurate"
