"id","brks","type","acc"
"1_1",100,"True","True"
"1_1",200,"True","True"
"1_1",300,"True","True"
"1_1",400,"True","True"
"1_1",500,"True","Missing"
"1_1",600,"True","Missing"
"1_1",700,"True","True"
"1_1",800,"True","True"
"1_1",900,"True","Missing"
"1_1",92,"Model","Accurate"
"1_1",204,"Model","Accurate"
"1_1",306,"Model","Accurate"
"1_1",387,"Model","Inaccurate"
"1_1",557,"Model","Inaccurate"
"1_1",686,"Model","Inaccurate"
"1_1",815,"Model","Inaccurate"
"2_1",300,"True","True"
"2_1",400,"True","True"
"2_1",500,"True","True"
"2_1",600,"True","True"
"2_1",800,"True","Missing"
"2_1",900,"True","True"
"2_1",141,"Model","Inaccurate"
"2_1",299,"Model","Accurate"
"2_1",396,"Model","Accurate"
"2_1",470,"Model","Inaccurate"
"2_1",589,"Model","Inaccurate"
"2_1",701,"Model","Inaccurate"
"2_1",884,"Model","Inaccurate"
"3_1",100,"True","True"
"3_1",200,"True","True"
"3_1",300,"True","True"
"3_1",700,"True","True"
"3_1",800,"True","Missing"
"3_1",900,"True","True"
"3_1",92,"Model","Accurate"
"3_1",193,"Model","Accurate"
"3_1",328,"Model","Inaccurate"
"3_1",532,"Model","Inaccurate"
"3_1",679,"Model","Inaccurate"
"3_1",758,"Model","Inaccurate"
"3_1",907,"Model","Accurate"
"4_1",100,"True","True"
"4_1",200,"True","True"
"4_1",300,"True","True"
"4_1",500,"True","True"
"4_1",700,"True","True"
"4_1",800,"True","True"
"4_1",900,"True","True"
"4_1",100,"Model","Accurate"
"4_1",174,"Model","Inaccurate"
"4_1",271,"Model","Inaccurate"
"4_1",407,"Model","Inaccurate"
"4_1",475,"Model","Inaccurate"
"4_1",683,"Model","Inaccurate"
"4_1",802,"Model","Accurate"
"4_1",895,"Model","Accurate"
"5_1",100,"True","True"
"5_1",300,"True","True"
"5_1",400,"True","True"
"5_1",900,"True","True"
"5_1",112,"Model","Inaccurate"
"5_1",196,"Model","Inaccurate"
"5_1",311,"Model","Inaccurate"
"5_1",403,"Model","Accurate"
"5_1",481,"Model","Inaccurate"
"5_1",696,"Model","Inaccurate"
"5_1",825,"Model","Inaccurate"
"5_1",924,"Model","Inaccurate"
"1_2",100,"True","True"
"1_2",200,"True","Missing"
"1_2",300,"True","True"
"1_2",400,"True","True"
"1_2",500,"True","True"
"1_2",900,"True","Missing"
"1_2",1000,"True","Missing"
"1_2",1200,"True","True"
"1_2",1300,"True","True"
"1_2",1400,"True","Missing"
"1_2",1500,"True","True"
"1_2",1700,"True","True"
"1_2",1800,"True","Missing"
"1_2",1900,"True","True"
"1_2",2200,"True","Missing"
"1_2",2400,"True","True"
"1_2",2500,"True","Missing"
"1_2",2700,"True","True"
"1_2",2800,"True","True"
"1_2",2900,"True","True"
"1_2",3000,"True","True"
"1_2",3100,"True","True"
"1_2",3600,"True","True"
"1_2",3700,"True","True"
"1_2",4100,"True","True"
"1_2",4200,"True","True"
"1_2",4300,"True","Missing"
"1_2",4600,"True","True"
"1_2",4800,"True","True"
"1_2",4900,"True","True"
"1_2",75,"Model","Inaccurate"
"1_2",160,"Model","Inaccurate"
"1_2",305,"Model","Accurate"
"1_2",401,"Model","Accurate"
"1_2",482,"Model","Inaccurate"
"1_2",574,"Model","Inaccurate"
"1_2",700,"Model","Inaccurate"
"1_2",834,"Model","Inaccurate"
"1_2",953,"Model","Inaccurate"
"1_2",1083,"Model","Inaccurate"
"1_2",1192,"Model","Accurate"
"1_2",1295,"Model","Accurate"
"1_2",1514,"Model","Inaccurate"
"1_2",1720,"Model","Inaccurate"
"1_2",1901,"Model","Accurate"
