"id","brks","type","acc"
"1_1",100,"True","True"
"1_1",200,"True","True"
"1_1",300,"True","True"
"1_1",400,"True","True"
"1_1",500,"True","True"
"1_1",600,"True","True"
"1_1",700,"True","True"
"1_1",800,"True","True"
"1_1",900,"True","Missing"
"1_1",3,"Model","Inaccurate"
"1_1",108,"Model","Accurate"
"1_1",200,"Model","Accurate"
"1_1",206,"Model","Accurate"
"1_1",303,"Model","Accurate"
"1_1",314,"Model","Inaccurate"
"1_1",403,"Model","Accurate"
"1_1",502,"Model","Accurate"
"1_1",603,"Model","Accurate"
"1_1",704,"Model","Accurate"
"1_1",801,"Model","Accurate"
"1_1",856,"Model","Inaccurate"
"2_1",300,"True","True"
"2_1",400,"True","True"
"2_1",500,"True","True"
"2_1",600,"True","True"
"2_1",800,"True","True"
"2_1",900,"True","True"
"2_1",309,"Model","Accurate"
"2_1",403,"Model","Accurate"
"2_1",476,"Model","Inaccurate"
"2_1",486,"Model","Inaccurate"
"2_1",538,"Model","Inaccurate"
"2_1",566,"Model","Inaccurate"
"2_1",569,"Model","Inaccurate"
"2_1",601,"Model","Accurate"
"2_1",612,"Model","Inaccurate"
"2_1",813,"Model","Inaccurate"
"2_1",848,"Model","Inaccurate"
"2_1",852,"Model","Inaccurate"
"2_1",855,"Model","Inaccurate"
"2_1",907,"Model","Accurate"
"2_1",908,"Model","Accurate"
"2_1",1001,"Model","Inaccurate"
"3_1",100,"True","Missing"
"3_1",200,"True","True"
"3_1",300,"True","True"
"3_1",700,"True","True"
"3_1",800,"True","True"
"3_1",900,"True","True"
"3_1",27,"Model","Inaccurate"
"3_1",30,"Model","Inaccurate"
"3_1",45,"Model","Inaccurate"
"3_1",198,"Model","Accurate"
"3_1",301,"Model","Accurate"
"3_1",702,"Model","Accurate"
"3_1",765,"Model","Inaccurate"
"3_1",789,"Model","Inaccurate"
"3_1",804,"Model","Accurate"
"3_1",909,"Model","Accurate"
"3_1",914,"Model","Inaccurate"
"4_1",100,"True","True"
"4_1",200,"True","True"
"4_1",300,"True","True"
"4_1",500,"True","True"
"4_1",700,"True","True"
"4_1",800,"True","True"
"4_1",900,"True","True"
"4_1",4,"Model","Inaccurate"
"4_1",96,"Model","Accurate"
"4_1",99,"Model","Accurate"
"4_1",113,"Model","Inaccurate"
"4_1",152,"Model","Inaccurate"
"4_1",153,"Model","Inaccurate"
"4_1",207,"Model","Accurate"
"4_1",304,"Model","Accurate"
"4_1",503,"Model","Accurate"
"4_1",700,"Model","Accurate"
"4_1",799,"Model","Accurate"
"4_1",813,"Model","Inaccurate"
"4_1",898,"Model","Accurate"
"4_1",980,"Model","Inaccurate"
"4_1",984,"Model","Inaccurate"
"5_1",100,"True","True"
"5_1",300,"True","True"
"5_1",400,"True","True"
"5_1",900,"True","True"
"5_1",101,"Model","Accurate"
"5_1",300,"Model","Accurate"
"5_1",302,"Model","Accurate"
"5_1",314,"Model","Inaccurate"
"5_1",401,"Model","Accurate"
"5_1",906,"Model","Accurate"
"5_1",1000,"Model","Inaccurate"
"1_2",100,"True","True"
"1_2",200,"True","True"
"1_2",300,"True","True"
"1_2",400,"True","True"
"1_2",500,"True","True"
"1_2",900,"True","True"
"1_2",1000,"True","True"
"1_2",1200,"True","True"
"1_2",1300,"True","True"
"1_2",1400,"True","Missing"
"1_2",1500,"True","Missing"
"1_2",1700,"True","Missing"
"1_2",1800,"True","Missing"
"1_2",1900,"True","True"
"1_2",2200,"True","True"
"1_2",2400,"True","Missing"
"1_2",2500,"True","Missing"
"1_2",2700,"True","True"
"1_2",2800,"True","True"
"1_2",2900,"True","True"
"1_2",3000,"True","True"
