"id","bin","behav","prop","var"
"1_1",1,"1",0.404326384366015,"Step Length"
"1_1",2,"1",0.370723919511017,"Step Length"
"1_1",3,"1",0.221222435891546,"Step Length"
"1_1",4,"1",0.00338182409028732,"Step Length"
"1_1",5,"1",0.0003454361411349,"Step Length"
"1_1",1,"2",0.00108201871381441,"Step Length"
"1_1",2,"2",0.000847745192195948,"Step Length"
"1_1",3,"2",0.0896878749340957,"Step Length"
"1_1",4,"2",0.53854309516977,"Step Length"
"1_1",5,"2",0.369839265990124,"Step Length"
"1_1",1,"3",0.00364802252794969,"Step Length"
"1_1",2,"3",0.00413172749405579,"Step Length"
"1_1",3,"3",0.982009743223894,"Step Length"
"1_1",4,"3",0.00674903590607103,"Step Length"
"1_1",5,"3",0.00346147084802974,"Step Length"
"1_1",1,"1",0.189654931035314,"Turning Angle"
"1_1",2,"1",0.110030971327059,"Turning Angle"
"1_1",3,"1",0.111503108372674,"Turning Angle"
"1_1",4,"1",0.0970077213186296,"Turning Angle"
"1_1",5,"1",0.0777265463292437,"Turning Angle"
"1_1",6,"1",0.119793750332598,"Turning Angle"
"1_1",7,"1",0.115243290987723,"Turning Angle"
"1_1",8,"1",0.179039680296759,"Turning Angle"
"1_1",1,"2",0.000606287101306253,"Turning Angle"
"1_1",2,"2",0.01704173060732,"Turning Angle"
"1_1",3,"2",0.161882822201239,"Turning Angle"
"1_1",4,"2",0.271722794515215,"Turning Angle"
"1_1",5,"2",0.317152435353877,"Turning Angle"
"1_1",6,"2",0.194243959609864,"Turning Angle"
"1_1",7,"2",0.0367001192735414,"Turning Angle"
"1_1",8,"2",0.000649851337637301,"Turning Angle"
"1_1",1,"3",0.00614548606451236,"Turning Angle"
"1_1",2,"3",0.442158846749246,"Turning Angle"
"1_1",3,"3",0.0680588395230901,"Turning Angle"
"1_1",4,"3",0.220561021537615,"Turning Angle"
"1_1",5,"3",0.228232460068628,"Turning Angle"
"1_1",6,"3",0.0173076584189906,"Turning Angle"
"1_1",7,"3",0.0108236100313384,"Turning Angle"
