"id","brks","type","acc"
"1_1",100,"True","True"
"1_1",200,"True","True"
"1_1",300,"True","True"
"1_1",400,"True","True"
"1_1",500,"True","True"
"1_1",600,"True","True"
"1_1",700,"True","True"
"1_1",800,"True","True"
"1_1",900,"True","True"
"1_1",100,"Model","Accurate"
"1_1",200,"Model","Accurate"
"1_1",301,"Model","Accurate"
"1_1",401,"Model","Accurate"
"1_1",503,"Model","Accurate"
"1_1",601,"Model","Accurate"
"1_1",699,"Model","Accurate"
"1_1",800,"Model","Accurate"
"1_1",894,"Model","Accurate"
"2_1",100,"True","True"
"2_1",300,"True","True"
"2_1",400,"True","Missing"
"2_1",700,"True","True"
"2_1",800,"True","True"
"2_1",900,"True","True"
"2_1",100,"Model","Accurate"
"2_1",299,"Model","Accurate"
"2_1",463,"Model","Inaccurate"
"2_1",698,"Model","Accurate"
"2_1",796,"Model","Accurate"
"2_1",900,"Model","Accurate"
"2_1",950,"Model","Inaccurate"
"3_1",100,"True","True"
"3_1",200,"True","True"
"3_1",300,"True","True"
"3_1",400,"True","True"
"3_1",500,"True","True"
"3_1",600,"True","True"
"3_1",700,"True","True"
"3_1",800,"True","True"
"3_1",102,"Model","Accurate"
"3_1",195,"Model","Accurate"
"3_1",300,"Model","Accurate"
"3_1",401,"Model","Accurate"
"3_1",500,"Model","Accurate"
"3_1",599,"Model","Accurate"
"3_1",700,"Model","Accurate"
"3_1",800,"Model","Accurate"
"4_1",100,"True","True"
"4_1",300,"True","True"
"4_1",400,"True","True"
"4_1",600,"True","True"
"4_1",91,"Model","Accurate"
"4_1",180,"Model","Inaccurate"
"4_1",245,"Model","Inaccurate"
"4_1",301,"Model","Accurate"
"4_1",410,"Model","Accurate"
"4_1",603,"Model","Accurate"
"4_1",720,"Model","Inaccurate"
"4_1",913,"Model","Inaccurate"
"5_1",100,"True","True"
"5_1",300,"True","True"
"5_1",700,"True","True"
"5_1",800,"True","True"
"5_1",900,"True","True"
"5_1",101,"Model","Accurate"
"5_1",317,"Model","Inaccurate"
"5_1",367,"Model","Inaccurate"
"5_1",417,"Model","Inaccurate"
"5_1",693,"Model","Accurate"
"5_1",799,"Model","Accurate"
"5_1",900,"Model","Accurate"
"1_2",100,"True","True"
"1_2",200,"True","Missing"
"1_2",400,"True","Missing"
"1_2",500,"True","Missing"
"1_2",700,"True","True"
"1_2",800,"True","True"
"1_2",900,"True","Missing"
"1_2",1000,"True","True"
"1_2",1100,"True","True"
"1_2",1400,"True","True"
"1_2",1600,"True","True"
"1_2",1800,"True","True"
"1_2",1900,"True","True"
"1_2",2000,"True","Missing"
"1_2",2200,"True","Missing"
"1_2",2300,"True","True"
"1_2",2400,"True","True"
"1_2",2800,"True","True"
"1_2",2900,"True","Missing"
"1_2",3200,"True","Missing"
"1_2",3300,"True","Missing"
"1_2",3400,"True","True"
"1_2",3500,"True","True"
"1_2",3600,"True","True"
"1_2",3800,"True","Missing"
"1_2",3900,"True","True"
"1_2",4100,"True","Missing"
"1_2",4300,"True","True"
"1_2",4500,"True","True"
"1_2",4700,"True","True"
"1_2",4800,"True","True"
"1_2",85,"Model","Inaccurate"
"1_2",700,"Model","Accurate"
"1_2",805,"Model","Accurate"
"1_2",1000,"Model","Accurate"
"1_2",1100,"Model","Accurate"
"1_2",1210,"Model","Inaccurate"
"1_2",1325,"Model","Inaccurate"
"1_2",1380,"Model","Inaccurate"
"1_2",1460,"Model","Inaccurate"
"1_2",1530,"Model","Inaccurate"
"1_2",1605,"Model","Accurate"
"1_2",1690,"Model","Inaccurate"
"1_2",1800,"Model","Accurate"
"1_2",1885,"Model","Inaccurate"
