"id","brks","type","acc"
"1_2",100,"True","Missing"
"1_2",200,"True","Missing"
"1_2",300,"True","True"
"1_2",400,"True","True"
"1_2",500,"True","Missing"
"1_2",900,"True","Missing"
"1_2",1000,"True","Missing"
"1_2",1200,"True","Missing"
"1_2",1300,"True","Missing"
"1_2",1400,"True","Missing"
"1_2",1500,"True","Missing"
"1_2",1700,"True","Missing"
"1_2",1800,"True","Missing"
"1_2",1900,"True","Missing"
"1_2",2200,"True","Missing"
"1_2",2400,"True","Missing"
"1_2",2500,"True","Missing"
"1_2",2700,"True","Missing"
"1_2",2800,"True","True"
"1_2",2900,"True","True"
"1_2",3000,"True","True"
"1_2",3100,"True","True"
"1_2",3600,"True","Missing"
"1_2",3700,"True","Missing"
"1_2",4100,"True","True"
"1_2",4200,"True","True"
"1_2",4300,"True","Missing"
"1_2",4600,"True","True"
"1_2",4800,"True","True"
"1_2",4900,"True","Missing"
"1_2",302,"Model","Accurate"
"1_2",401,"Model","Accurate"
"1_2",2804,"Model","Accurate"
"1_2",2904,"Model","Accurate"
"1_2",3004,"Model","Accurate"
"1_2",3102,"Model","Accurate"
"1_2",4102,"Model","Accurate"
"1_2",4202,"Model","Accurate"
"1_2",4601,"Model","Accurate"
"1_2",4799,"Model","Accurate"
"1_2",4802,"Model","Accurate"
"2_2",200,"True","True"
"2_2",300,"True","True"
"2_2",400,"True","Missing"
"2_2",600,"True","Missing"
"2_2",900,"True","True"
"2_2",1000,"True","True"
"2_2",1300,"True","Missing"
"2_2",1400,"True","Missing"
"2_2",1500,"True","Missing"
"2_2",1600,"True","Missing"
"2_2",1800,"True","True"
"2_2",2000,"True","True"
"2_2",2400,"True","Missing"
"2_2",2500,"True","Missing"
"2_2",2700,"True","Missing"
"2_2",2800,"True","Missing"
"2_2",3000,"True","Missing"
"2_2",3200,"True","Missing"
"2_2",3300,"True","True"
"2_2",3400,"True","True"
"2_2",3700,"True","Missing"
"2_2",3800,"True","Missing"
"2_2",3900,"True","True"
"2_2",4000,"True","True"
"2_2",4100,"True","Missing"
"2_2",4300,"True","Missing"
"2_2",4400,"True","Missing"
"2_2",201,"Model","Accurate"
"2_2",303,"Model","Accurate"
"2_2",632,"Model","Inaccurate"
"2_2",902,"Model","Accurate"
"2_2",1002,"Model","Accurate"
"2_2",1802,"Model","Accurate"
"2_2",2003,"Model","Accurate"
"2_2",3303,"Model","Accurate"
"2_2",3403,"Model","Accurate"
"2_2",3901,"Model","Accurate"
"2_2",3991,"Model","Accurate"
"2_2",3998,"Model","Accurate"
"3_2",100,"True","True"
"3_2",200,"True","True"
"3_2",300,"True","Missing"
"3_2",400,"True","Missing"
"3_2",500,"True","Missing"
"3_2",600,"True","Missing"
"3_2",800,"True","Missing"
"3_2",900,"True","Missing"
"3_2",1000,"True","True"
"3_2",1100,"True","True"
"3_2",1200,"True","True"
"3_2",1300,"True","True"
"3_2",1400,"True","Missing"
"3_2",1500,"True","Missing"
"3_2",1600,"True","True"
"3_2",1700,"True","True"
"3_2",1900,"True","Missing"
"3_2",2000,"True","True"
"3_2",2100,"True","True"
"3_2",2200,"True","Missing"
"3_2",2300,"True","Missing"
"3_2",2400,"True","Missing"
"3_2",2500,"True","Missing"
"3_2",2800,"True","Missing"
"3_2",3200,"True","True"
"3_2",3300,"True","True"
"3_2",3400,"True","Missing"
"3_2",3800,"True","Missing"
"3_2",3900,"True","Missing"
"3_2",4000,"True","True"
"3_2",4300,"True","True"
"3_2",4400,"True","Missing"
"3_2",4600,"True","True"
"3_2",4700,"True","True"
"3_2",91,"Model","Accurate"
"3_2",203,"Model","Accurate"
"3_2",1001,"Model","Accurate"
"3_2",1103,"Model","Accurate"
"3_2",1204,"Model","Accurate Duplicate"
"3_2",1205,"Model","Accurate Duplicate"
"3_2",1302,"Model","Accurate"
"3_2",1603,"Model","Accurate"
"3_2",1703,"Model","Accurate"
"3_2",2008,"Model","Accurate"
"3_2",2103,"Model","Accurate"
"3_2",3203,"Model","Accurate"
"3_2",3308,"Model","Accurate"
"3_2",4004,"Model","Accurate"
"3_2",4304,"Model","Accurate"
"3_2",4603,"Model","Accurate"
"3_2",4703,"Model","Accurate"
"4_2",200,"True","Missing"
"4_2",400,"True","Missing"
"4_2",800,"True","Missing"
"4_2",900,"True","Missing"
"4_2",1100,"True","True"
"4_2",1200,"True","True"
"4_2",1300,"True","True"
"4_2",1400,"True","True"
"4_2",1600,"True","Missing"
"4_2",1700,"True","True"
"4_2",1900,"True","True"
"4_2",2000,"True","True"
"4_2",2100,"True","True"
"4_2",2200,"True","Missing"
"4_2",2400,"True","Missing"
"4_2",2500,"True","Missing"
"4_2",2600,"True","Missing"
"4_2",2800,"True","Missing"
"4_2",3000,"True","Missing"
"4_2",3300,"True","Missing"
"4_2",3400,"True","Missing"
"4_2",3700,"True","Missing"
"4_2",3800,"True","Missing"
"4_2",3900,"True","Missing"
"4_2",4100,"True","Missing"
"4_2",4300,"True","Missing"
"4_2",4400,"True","Missing"
"4_2",4500,"True","Missing"
"4_2",4700,"True","Missing"
"4_2",4800,"True","Missing"
"4_2",4900,"True","Missing"
"4_2",3,"Model","Inaccurate"
"4_2",1101,"Model","Accurate"
"4_2",1203,"Model","Accurate"
"4_2",1300,"Model","Accurate"
"4_2",1402,"Model","Accurate"
"4_2",1701,"Model","Accurate"
"4_2",1710,"Model","Accurate"
"4_2",1896,"Model","Accurate"
"4_2",2003,"Model","Accurate"
"4_2",2101,"Model","Accurate"
"5_2",200,"True","True"
"5_2",300,"True","True"
"5_2",600,"True","Missing"
"5_2",800,"True","Missing"
"5_2",900,"True","Missing"
"5_2",1000,"True","Missing"
"5_2",1100,"True","Missing"
"5_2",1200,"True","Missing"
"5_2",1300,"True","True"
"5_2",1400,"True","True"
"5_2",1500,"True","True"
"5_2",1600,"True","True"
"5_2",1700,"True","Missing"
"5_2",1800,"True","Missing"
"5_2",1900,"True","Missing"
"5_2",2000,"True","True"
"5_2",2100,"True","True"
"5_2",2200,"True","Missing"
"5_2",2400,"True","True"
"5_2",2500,"True","True"
"5_2",2700,"True","Missing"
"5_2",2800,"True","Missing"
"5_2",2900,"True","Missing"
"5_2",3100,"True","Missing"
"5_2",3200,"True","True"
"5_2",3400,"True","True"
"5_2",4100,"True","Missing"
"5_2",4200,"True","Missing"
"5_2",4700,"True","True"
"5_2",4800,"True","True"
"5_2",206,"Model","Accurate"
"5_2",210,"Model","Accurate"
"5_2",303,"Model","Accurate"
"5_2",1300,"Model","Accurate"
"5_2",1402,"Model","Accurate"
"5_2",1502,"Model","Accurate"
"5_2",1604,"Model","Accurate"
"5_2",2002,"Model","Accurate"
"5_2",2098,"Model","Accurate"
"5_2",2402,"Model","Accurate"
"5_2",2492,"Model","Accurate"
"5_2",2506,"Model","Accurate"
"5_2",3201,"Model","Accurate"
"5_2",3413,"Model","Inaccurate"
"5_2",4702,"Model","Accurate"
"5_2",4717,"Model","Inaccurate"
"5_2",4802,"Model","Accurate"
"1_3",200,"True","True"
"1_3",300,"True","True"
"1_3",400,"True","Missing"
"1_3",600,"True","Missing"
"1_3",800,"True","True"
"1_3",900,"True","True"
"1_3",1000,"True","Missing"
"1_3",1300,"True","Missing"
"1_3",1700,"True","Missing"
"1_3",2000,"True","True"
"1_3",2100,"True","True"
"1_3",2200,"True","Missing"
"1_3",2400,"True","True"
"1_3",2600,"True","True"
"1_3",2700,"True","True"
"1_3",2800,"True","True"
"1_3",3000,"True","Missing"
"1_3",3100,"True","True"
"1_3",3200,"True","True"
"1_3",3300,"True","True"
"1_3",3500,"True","True"
"1_3",3600,"True","Missing"
"1_3",3800,"True","Missing"
"1_3",4100,"True","Missing"
"1_3",4300,"True","True"
"1_3",4400,"True","True"
"1_3",4500,"True","Missing"
"1_3",4600,"True","True"
"1_3",4700,"True","True"
"1_3",4800,"True","Missing"
"1_3",4900,"True","Missing"
"1_3",5100,"True","True"
"1_3",5200,"True","True"
"1_3",5300,"True","Missing"
"1_3",5500,"True","Missing"
"1_3",6000,"True","Missing"
"1_3",6100,"True","Missing"
"1_3",6500,"True","Missing"
"1_3",6600,"True","Missing"
"1_3",7000,"True","Missing"
"1_3",7300,"True","True"
"1_3",7600,"True","True"
"1_3",7800,"True","True"
"1_3",7900,"True","True"
"1_3",8000,"True","True"
"1_3",8100,"True","True"
"1_3",8300,"True","Missing"
"1_3",8400,"True","Missing"
"1_3",8800,"True","True"
"1_3",8900,"True","True"
"1_3",9100,"True","Missing"
"1_3",9200,"True","Missing"
"1_3",9300,"True","Missing"
"1_3",9400,"True","True"
"1_3",9500,"True","True"
"1_3",9700,"True","True"
"1_3",9800,"True","True"
"1_3",9900,"True","Missing"
"1_3",191,"Model","Accurate"
"1_3",303,"Model","Accurate"
"1_3",802,"Model","Accurate"
"1_3",900,"Model","Accurate"
"1_3",2002,"Model","Accurate"
"1_3",2103,"Model","Accurate"
"1_3",2403,"Model","Accurate"
"1_3",2580,"Model","Inaccurate"
"1_3",2602,"Model","Accurate"
"1_3",2696,"Model","Accurate"
"1_3",2784,"Model","Inaccurate"
"1_3",2800,"Model","Accurate"
"1_3",3103,"Model","Accurate"
"1_3",3198,"Model","Accurate"
"1_3",3202,"Model","Accurate"
"1_3",3305,"Model","Accurate"
"1_3",3501,"Model","Accurate"
"1_3",4302,"Model","Accurate"
"1_3",4402,"Model","Accurate"
"1_3",4600,"Model","Accurate"
"1_3",4685,"Model","Inaccurate"
"1_3",4706,"Model","Accurate"
"1_3",5103,"Model","Accurate"
"1_3",5203,"Model","Accurate"
"1_3",7303,"Model","Accurate"
"1_3",7602,"Model","Accurate"
"1_3",7798,"Model","Accurate"
"1_3",7909,"Model","Accurate"
"1_3",8002,"Model","Accurate"
"1_3",8106,"Model","Accurate"
"1_3",8803,"Model","Accurate"
"1_3",8892,"Model","Accurate"
"1_3",8903,"Model","Accurate"
"1_3",9403,"Model","Accurate"
"1_3",9502,"Model","Accurate"
"1_3",9700,"Model","Accurate"
"1_3",9805,"Model","Accurate"
"2_3",100,"True","Missing"
"2_3",300,"True","Missing"
"2_3",600,"True","Missing"
"2_3",800,"True","Missing"
"2_3",1000,"True","True"
"2_3",1200,"True","True"
"2_3",1900,"True","True"
"2_3",2100,"True","True"
"2_3",2400,"True","True"
"2_3",2500,"True","True"
"2_3",2600,"True","True"
"2_3",2700,"True","True"
"2_3",2800,"True","Missing"
"2_3",3200,"True","Missing"
"2_3",3500,"True","Missing"
"2_3",4200,"True","True"
"2_3",4300,"True","True"
"2_3",4400,"True","Missing"
"2_3",4500,"True","True"
"2_3",4600,"True","True"
"2_3",4800,"True","Missing"
"2_3",4900,"True","Missing"
"2_3",5000,"True","True"
"2_3",5100,"True","True"
"2_3",5300,"True","Missing"
"2_3",5500,"True","Missing"
"2_3",5600,"True","Missing"
"2_3",5800,"True","True"
"2_3",5900,"True","True"
"2_3",6100,"True","Missing"
"2_3",6600,"True","Missing"
"2_3",6700,"True","Missing"
"2_3",6800,"True","True"
"2_3",6900,"True","True"
"2_3",7000,"True","Missing"
"2_3",7100,"True","True"
"2_3",7300,"True","True"
"2_3",7400,"True","True"
"2_3",7500,"True","True"
"2_3",8100,"True","Missing"
"2_3",8200,"True","Missing"
"2_3",8300,"True","Missing"
"2_3",8400,"True","Missing"
"2_3",8500,"True","True"
"2_3",8600,"True","True"
"2_3",8700,"True","True"
"2_3",8800,"True","True"
"2_3",8900,"True","Missing"
"2_3",9000,"True","True"
"2_3",9100,"True","True"
"2_3",9400,"True","True"
"2_3",9500,"True","True"
"2_3",9600,"True","True"
"2_3",9700,"True","True"
"2_3",9800,"True","True"
"2_3",9900,"True","Missing"
"2_3",1000,"Model","Accurate"
"2_3",1203,"Model","Accurate"
"2_3",1902,"Model","Accurate"
"2_3",2099,"Model","Accurate"
"2_3",2102,"Model","Accurate"
"2_3",2403,"Model","Accurate"
"2_3",2500,"Model","Accurate"
"2_3",2601,"Model","Accurate"
"2_3",2704,"Model","Accurate"
"2_3",4209,"Model","Accurate"
"2_3",4302,"Model","Accurate"
"2_3",4502,"Model","Accurate"
"2_3",4601,"Model","Accurate"
"2_3",5000,"Model","Accurate"
"2_3",5102,"Model","Accurate"
"2_3",5801,"Model","Accurate"
"2_3",5807,"Model","Accurate"
"2_3",5902,"Model","Accurate"
"2_3",6801,"Model","Accurate"
"2_3",6902,"Model","Accurate"
"2_3",7101,"Model","Accurate"
"2_3",7302,"Model","Accurate"
"2_3",7401,"Model","Accurate"
"2_3",7502,"Model","Accurate"
"2_3",8502,"Model","Accurate"
"2_3",8608,"Model","Accurate"
"2_3",8702,"Model","Accurate"
"2_3",8805,"Model","Accurate"
"2_3",8983,"Model","Inaccurate"
"2_3",9102,"Model","Accurate"
"2_3",9400,"Model","Accurate"
"2_3",9503,"Model","Accurate"
"2_3",9602,"Model","Accurate"
"2_3",9702,"Model","Accurate"
"2_3",9802,"Model","Accurate"
"3_3",200,"True","True"
"3_3",300,"True","Missing"
"3_3",400,"True","Missing"
